name,basic hour,homeroom hour,home class,class,class,class,class,class,engineer,business,total hour,excess hour
Ann,12,1,貿二甲3,模一甲4,圖一甲4,,,,8,3,12,0
Bob,16,,,圖三乙3,圖二甲4,板一甲4,模三甲3,商一乙3,14,3,17,1
Cindy,12,1,資三甲3,機三乙3,汽三乙3,模二甲4,,,10,3,14,2
David,12,1,圖三甲3,板一乙4,體一甲3,圖一乙4,,,14,0,15,3
Evans,12,1,汽一乙4,應三乙3,應二甲3,圖二乙4,,,8,6,15,3
Freya,10,1,資一乙3,機二乙4,汽二乙4,板二甲4,,,12,3,16,6
Giselle,12,1,商一甲3,商三乙3,板三乙3,應一乙3,,,3,9,13,1
Hanna,12,1,應三甲3,機二甲4,模二乙4,貿一甲3,資一甲3,,8,9,18,6
Ian,12,1,資三乙3,貿三乙3,汽三甲3,板二乙4,,,7,6,14,2
Joyce,12,1,模三乙3,貿三甲3,體二甲3,機一乙4,,,10,3,14,2
Kamila,12,1,資二乙3,商三甲3,機三甲3,板三甲3,商二乙3,,6,9,16,4
Luna,16,,,貿二乙3,汽一甲4,貿一乙3,應一甲3,應二乙3,4,12,16,0
Maria,16,,,模一乙4,機一甲4,商二甲3,資二甲3,汽二甲4,12,6,18,2
